"Product ID",Thumbnail,Name,SKU,Barcode,"Vendor SKU",Weight,"Weight Unit",Length,Width,Height,"Dimension Unit",Volume,"Volume Unit",Backordered,Expected,Processed,Put-Away,Available,Allocated,Reserved,Picked,"On Hand",Advertised,"Goods Type",Regulation,"Lot Type","Serial Number Type",Status,Availability,Visibility,"Created At","Updated At","Description of Goods for Export","Base Image","Requires Packaging","Storage Height","Merchant Name","Require Weight Check","Technical Name","HTS Base Code","Storage Length","Storage Width","HTS Country Code","Additional Regulatory Information","Is Box","Net Hazmat Weight","Customs Value","Valid Containers","Country of Manufacture","Other Special Features","Container Type","Container Meets HazMat Specs","Regulation Units","Bulk Quantity","Unit Quantity","Max Per Package","Ship Separate","External ID","Additional Handling Surcharge","Ship Separate Tag","Requires Infill","Special Supplies","Can Contain Other Items","Can Tip","Allowed Container Styles","Freight Class","Disallowed Containers","Freight Category",Details,Test,"Product Category","Customs Value Currency","Net Hazmat Weight Unit"
97596,"https://images-us-east.shipstream.io/cdn-cgi/image/fit=pad,width=250/xdebmt82bbc9/catalog/product/1c382726e2a0b626a00700fe4afeac1628db261e.jpg","Desk SSW",D-SSW,108963443336,,48,lb,41.25,14.5,5.5,in,3289.6875,in^3,0,42,0,0,150,3,0,0,153,150,"Not Regulated",,"FIFO (Accepted Date)",,Enabled,Available,Visible,"2022-09-27 22:51:21","2025-05-12 17:54:18","Motorized Desk Frame",1c382726e2a0b626a00700fe4afeac1628db261e.jpg,No,,"Keelan Scott",No,,,,,,,0,,399,,China,,,No,,,,,0,,No,,None,,No,Yes,,,,,,Box1,"Accessories & Merch",USD,
99108,,"Desk SSB 58X28 Drawer",D-SSB-58X28-DRAWER,R0509202527200,,1,lb,,,,,,,0,0,0,0,0,0,0,0,0,409,"Not Regulated",,"FIFO (Accepted Date)",,Enabled,Available,Visible,"2022-10-27 18:14:52","2025-05-09 11:10:34",,no_selection,Yes,,"Keelan Scott",Yes,,,,,,,,,,," ",,,No,,,,,0,,No,,"Use Default (Kraft Paper)",,No,Yes,,,,,,Box1,"Accessories & Merch",,
99095,,"Desk SSB 46X24",D-SSB-46X24,R0509202527199,,1,lb,,,,,,,0,0,0,0,0,0,0,0,0,456,"Not Regulated",,"FIFO (Accepted Date)",,Enabled,Available,Visible,"2022-10-27 18:14:52","2025-05-09 11:03:43",,no_selection,Yes,,"Keelan Scott",Yes,,,,,,,,,,," ",,,No,,,,,0,,No,,"Use Default (Kraft Paper)",,No,Yes,,,,,,,,,
141108,,"Half of 48X36",48X36-HALF,108734448362,,36,lb,51,40.75,4.5,in,9352.125,in^3,0,0,0,0,0,0,0,0,0,0,"Not Regulated",,,,Enabled,Available,Visible,"2024-03-20 16:29:17","2025-05-06 08:22:37",,no_selection,No,,"Keelan Scott",No,,,,,,,0,,,,Unknown,,,No,,,,,0,,No,,"Use Default (Kraft Paper)",,No,Yes,,,,,,Box1,"Accessories & Merch",,
147806,"https://images-us-east.shipstream.io/cdn-cgi/image/fit=pad,width=250/xdebmt82bbc9/catalog/product/9d5d99074cfb20a26d5ab0258b0ea9dce7df4cbb.jpg","Monitor Stand White",MONITOR-STAND-WT,109634442092,,10.91,lb,45,11.25,5.25,in,2657.8125,in^3,0,1,0,0,97,1,0,0,98,97,"Not Regulated",,,,Enabled,Available,Visible,"2024-09-02 17:08:23","2025-05-02 09:51:30",,9d5d99074cfb20a26d5ab0258b0ea9dce7df4cbb.jpg,No,,"Keelan Scott",No,,,,,,,0,,,,China,,,No,,,,,0,,No,,"Use Default (Kraft Paper)",,No,Yes,,,,,,,,,
96101,"https://images-us-east.shipstream.io/cdn-cgi/image/fit=pad,width=250/xdebmt82bbc9/catalog/product/722e5042d9cae9ffe9d57b8d7f49cb4a6bf8b943.jpg","Add-on Keyboard Tray",KEYBOARD-TRAY,108634422127,,7.2,lb,27,17.2,4.9,in,2275.56,in^3,0,0,0,0,206,0,0,1,207,206,"Not Regulated",,"FIFO (Accepted Date)",,Enabled,Available,Visible,"2022-08-14 23:22:38","2025-05-02 09:50:53",,722e5042d9cae9ffe9d57b8d7f49cb4a6bf8b943.jpg,No,,"Keelan Scott",No,,,,,,,0,,,,China,,,No,,,,,0,,No,,None,,No,Yes,,,,,,Box1,"Accessories & Merch",,
134640,"https://images-us-east.shipstream.io/cdn-cgi/image/fit=pad,width=250/xdebmt82bbc9/catalog/product/eb8628e6951f9fe88fe36e708bd52724945a0626.jpeg","Bench DN",B-DN,108104316123,,10.925,lb,17.9,13,6.8,in,1582.36,in^3,0,63,0,0,116,0,0,1,117,116,"Not Regulated",,,,Enabled,Available,Visible,"2023-11-28 14:38:47","2025-04-10 18:43:45",,eb8628e6951f9fe88fe36e708bd52724945a0626.jpeg,No,,"Keelan Scott",No,,,,,,,0,,,,Unknown,,,No,,,,,0,,No,,None,,No,Yes,,,,,,Box1,"Accessories & Merch",,
134634,"https://images-us-east.shipstream.io/cdn-cgi/image/fit=pad,width=250/xdebmt82bbc9/catalog/product/391083496d15eb6b851c9b2b3f8a4645aa21f637.jpg",58X14,58X14,109634458147,,26.7,lb,61,16,2.5,in,2440,in^3,0,73,0,0,73,1,0,1,75,73,"Not Regulated",,,,Enabled,Available,Visible,"2023-11-28 14:33:43","2025-04-10 15:11:24",,391083496d15eb6b851c9b2b3f8a4645aa21f637.jpg,No,,"Keelan Scott",No,,,,,,,0,,,,China,,,No,,,,,1,,No,,None,,No,Yes,,,,,,Box1,"Accessories & Merch",,
90486,"https://images-us-east.shipstream.io/cdn-cgi/image/fit=pad,width=250/xdebmt82bbc9/catalog/product/71ecb46db74d103ebcd3eaa81fc4a2c602ba2a64.jpg","Desk HP",D-HP,108634428129,,24,lb,29,23,4.25,in,2834.75,in^3,0,108,0,0,28,0,0,0,28,28,"Not Regulated",,"FIFO (Accepted Date)",,Enabled,Available,Visible,"2022-05-16 02:01:44","2025-04-07 11:07:27",,71ecb46db74d103ebcd3eaa81fc4a2c602ba2a64.jpg,No,4.25,"Keelan Scott",No,,,29,23,,,0,,,,China,,,No,,,,,0,,No,,None,,No,Yes,,,,,,Box1,"Accessories & Merch",,
134638,"https://images-us-east.shipstream.io/cdn-cgi/image/fit=pad,width=250/xdebmt82bbc9/catalog/product/066cbb757adb26e2b719fab9c60ca52122359ef3.jpeg","End Table",END-TABLE,108104318127,,15.695,lb,26.75,14.8,5.1,in,2019.09,in^3,0,122,0,0,308,0,0,1,309,308,"Not Regulated",,,,Enabled,Available,Visible,"2023-11-28 14:37:13","2025-04-07 11:06:00",,066cbb757adb26e2b719fab9c60ca52122359ef3.jpeg,No,,"Keelan Scott",No,,,,,,,0,,,,China,,,No,,,,,1,,No,,"Use Default (Kraft Paper)",,No,Yes,,,,,,Box1,"Accessories & Merch",,
